,ProbeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,diffexpressed
638,201531_at,-1.285795266,10.29514537,-6.612805442,3.42E-10,2.03E-08,12.82808385,ZFP36,DOWN
639,208868_s_at,-1.49141022,7.338502133,-6.612566894,3.42E-10,2.03E-08,12.8268078,GABARAPL1,DOWN
640,226826_at,1.279612023,6.70139382,6.612584507,3.42E-10,2.03E-08,12.82690201,LSM11,UP
641,202724_s_at,-1.3398771,7.706430924,-6.607312758,3.53E-10,2.08E-08,12.79870954,FOXO1,DOWN
642,238574_at,1.06288067,5.997232503,6.607073949,3.53E-10,2.08E-08,12.79743276,SLC25A51,UP
643,204127_at,1.455388907,7.39195155,6.604778114,3.57E-10,2.10E-08,12.78515973,RFC3,UP
644,242680_at,-3.82143365,7.177559273,-6.599251317,3.69E-10,2.17E-08,12.75562576,AVPR1A,DOWN
645,210986_s_at,1.389750957,10.45229087,6.595736931,3.76E-10,2.20E-08,12.73685381,TPM1,UP
646,212230_at,-1.207402644,9.390150337,-6.595223645,3.77E-10,2.21E-08,12.73411264,PLPP3,DOWN
647,223207_x_at,1.104400143,9.652808713,6.593379762,3.81E-10,2.23E-08,12.72426663,PHPT1,UP
648,229830_at,2.167084239,6.773783146,6.592902525,3.82E-10,2.23E-08,12.72171856,NA,UP
649,236901_at,-1.010117986,3.809702575,-6.587977908,3.92E-10,2.29E-08,12.69543175,NA,DOWN
650,204768_s_at,1.427826356,6.882227331,6.586184545,3.96E-10,2.31E-08,12.68586216,FEN1,UP
651,208581_x_at,-2.671291552,11.38884536,-6.585296543,3.98E-10,2.32E-08,12.6811243,MT1X,DOWN
652,226233_at,1.073023935,7.901172508,6.580464611,4.09E-10,2.37E-08,12.65535101,B3GALNT2,UP
653,224243_at,-1.887684318,8.159758695,-6.576501964,4.18E-10,2.42E-08,12.63422341,APOA5,DOWN
654,213485_s_at,1.122184873,6.622069533,6.576042716,4.19E-10,2.42E-08,12.63177537,ABCC10,UP
655,218541_s_at,-2.193686401,7.455422094,-6.575672555,4.20E-10,2.42E-08,12.62980229,TCIM,DOWN
656,238122_at,1.07740806,5.2439733,6.573804175,4.24E-10,2.44E-08,12.61984427,RBM12B,UP
657,213599_at,1.929613251,5.97430653,6.573399803,4.25E-10,2.45E-08,12.61768931,OIP5,UP
658,237563_s_at,1.618599299,7.961814822,6.564559444,4.46E-10,2.54E-08,12.57059859,NA,UP
659,208938_at,1.107345158,7.337893696,6.561482577,4.54E-10,2.58E-08,12.55421823,PRCC,UP
660,203764_at,2.408608096,5.928361657,6.559387483,4.59E-10,2.60E-08,12.54306735,DLGAP5,UP
661,232224_at,-1.588709593,7.422936621,-6.558792558,4.61E-10,2.61E-08,12.53990135,MASP1,DOWN
662,214420_s_at,-2.010041559,6.182013401,-6.558098872,4.63E-10,2.62E-08,12.53621,CYP2C9,DOWN
663,222988_s_at,1.132210758,9.422567422,6.556553962,4.67E-10,2.63E-08,12.5279899,TMEM9,UP
664,209448_at,1.269999399,10.44007678,6.555892021,4.68E-10,2.64E-08,12.52446824,HTATIP2,UP
665,218901_at,-1.681836399,8.179590146,-6.553500393,4.74E-10,2.67E-08,12.51174619,PLSCR4,DOWN
666,226750_at,-1.324442563,6.853799043,-6.54650859,4.93E-10,2.76E-08,12.47457092,LARP1B,DOWN
667,202748_at,1.697618634,8.384480505,6.545227316,4.97E-10,2.78E-08,12.46776116,GBP2,UP
668,214264_s_at,1.084596504,6.544415561,6.544609938,4.98E-10,2.78E-08,12.4644802,EFCAB11,UP
669,208562_s_at,-1.318245158,5.410197073,-6.543658481,5.01E-10,2.79E-08,12.45942421,ABCC9,DOWN
670,203715_at,1.37933286,7.17100167,6.543249356,5.02E-10,2.79E-08,12.45725029,TBCE,UP
