"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"207609_s_at",-3.84343549850929,6.43632275650505,-9.5223129805868,6.09516605220553e-18,3.65797036933077e-15,30.1537532318941,"CYP1A2","DOWN"
"241200_x_at",-1.09945715723169,3.57609104811616,-9.51635455495667,6.3397762454586e-18,3.76341521840468e-15,30.1154474739699,NA,"DOWN"
"225068_at",1.36724921418689,8.65467547186364,9.4864685534392,7.72196986454225e-18,4.43915726539206e-15,29.9234457185649,"KLHL12","UP"
"201451_x_at",-1.43524597670273,5.26067887064141,-9.48372449113613,7.86299290820706e-18,4.47314199683242e-15,29.9058275254242,"RHEB","DOWN"
"220112_at",-1.02186160091475,3.77768646486364,-9.47228158204646,8.47920131218742e-18,4.72525123737237e-15,29.832378532088,"ANKRD55","DOWN"
"200856_x_at",-1.55250270086994,6.84652256250505,-9.47020551277191,8.59603777074842e-18,4.74197384620085e-15,29.819056251663,"NCOR1","DOWN"
"207165_at",3.11502045329618,7.43131139291919,9.46737918234077,8.757674198017e-18,4.78282860976302e-15,29.8009212029051,"HMMR","UP"
"206251_s_at",-1.62348078884153,3.49129917134343,-9.46452015361946,8.92425514209292e-18,4.82554798094179e-15,29.7825783538781,"AVPR1A","DOWN"
"232978_at",-2.56575227025792,5.15763043413131,-9.45279732169596,9.64086883056406e-18,5.16192911219211e-15,29.7073885970401,NA,"DOWN"
"225799_at",2.73701740209071,8.80548320370202,9.43322641988794,1.09669025052952e-17,5.75899467809314e-15,29.5819376926932,"CYTOR","UP"
"225799_at",2.73701740209071,8.80548320370202,9.43322641988794,1.09669025052952e-17,5.75899467809314e-15,29.5819376926932,"MIR4435-2HG","UP"
"220070_at",-1.88181093361421,6.11593821988384,-9.40341354068162,1.33432303191836e-17,6.9401317849674e-15,29.3910189794178,"KDM8","DOWN"
"207420_at",-1.55187069688197,4.30932601580303,-9.39055065747454,1.45204747017865e-17,7.48119514045913e-15,29.3087154201936,"COLEC10","DOWN"
"211610_at",-1.20653772204371,5.90882547650505,-9.38545392047453,1.50150051697293e-17,7.66368670406008e-15,29.2761153650303,"KLF6","DOWN"
"209787_s_at",1.36096451451803,8.83544469393939,9.35646966918266,1.81628403230078e-17,9.1845110977817e-15,29.0908500976274,"HMGN4","UP"
"204289_at",-2.18293124134645,4.5825818300101,-9.3349480394755,2.09169966810253e-17,1.04801829334022e-14,28.9534243321633,"ALDH6A1","DOWN"
"225401_at",1.83336554400984,9.28175446765152,9.32218869522092,2.27418837372265e-17,1.12909317867377e-14,28.8720061865532,"GLMP","UP"
"201890_at",3.46540396683278,8.51204288081818,9.31189924294075,2.43280981844626e-17,1.19622871895959e-14,28.8063792345845,"RRM2","UP"
"242784_at",-1.21489399142076,3.87839429150505,-9.25239699172798,3.5909043334254e-17,1.73548724213594e-14,28.4274106973264,NA,"DOWN"
"208079_s_at",2.88370484832678,7.40901310088384,9.2484896640451,3.68377967279616e-17,1.76475666026681e-14,28.4025575739136,"AURKA","UP"
"232449_at",-3.47059798098579,6.34588921361616,-9.24576074425774,3.75005682323796e-17,1.78088568076082e-14,28.3852022808841,"BCO2","DOWN"
"230707_at",-2.64785390527213,6.37199736281818,-9.22229301385368,4.37119005382919e-17,2.05796381387736e-14,28.2360345948325,"SORL1","DOWN"
"206030_at",-2.62518685486995,5.33609968023232,-9.17882509693661,5.80388910792844e-17,2.70912646026749e-14,27.9601289183758,"ASPA","DOWN"
"220346_at",-1.4217739152,4.30929375309091,-9.16758766262047,6.24470911845048e-17,2.89018897530454e-14,27.8888839422236,"MTHFD2L","DOWN"
"218883_s_at",2.97422569589399,7.28819506355051,9.16345132464044,6.41521255638774e-17,2.94415128858826e-14,27.8626683125502,"CENPU","UP"
