"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"204762_s_at",-1.05222142677596,4.05066323734343,-8.86709361639299,4.36506103262783e-16,1.64406260810278e-13,25.9968481909151,"GNAO1","DOWN"
"213629_x_at",-3.77093986391257,9.20820515583838,-8.86284890658026,4.48578375363406e-16,1.67795964477546e-13,25.9703081922888,"MT1F","DOWN"
"220107_s_at",-1.1680799890153,6.20725465217677,-8.85636040015348,4.67675741220333e-16,1.73749491532422e-13,25.9297492281901,"ZC2HC1C","DOWN"
"212051_at",1.19535326777158,7.88192256696465,8.84806982266019,4.93255824364891e-16,1.80793156617717e-13,25.8779439464615,"WIPF2","UP"
"202261_at",1.23535118362187,8.62605673514141,8.81239168471198,6.20152129029772e-16,2.23270163944131e-13,25.6552368065333,"VPS72","UP"
"218009_s_at",2.89571475491476,7.31121163086364,8.8120756366955,6.21410010794279e-16,2.23270163944131e-13,25.6532657062594,"PRC1","UP"
"221685_s_at",1.67106313644044,6.35271748441919,8.79087619243683,7.11830017198015e-16,2.54086096269511e-13,25.5211197749899,"SPDL1","UP"
"202326_at",1.40400331744918,7.35784527469697,8.77968606501896,7.64706258834667e-16,2.71187681258037e-13,25.451421449266,"EHMT2","UP"
"205249_at",-2.20704451586229,6.16543927651515,-8.76088701994494,8.62452693440798e-16,3.03878251270208e-13,25.3344163858978,"EGR2","DOWN"
"206102_at",2.98706914070929,6.69512611572222,8.74706147322362,9.4216122140595e-16,3.298349409272e-13,25.2484352774604,"GINS1","UP"
"228191_at",2.3474647315694,7.98497816092929,8.74338392504737,9.64567322213312e-16,3.35528122089399e-13,25.2255744703153,"FLVCR1","UP"
"225585_at",1.86817048396175,8.52689886399495,8.73782066367015,9.9947143598568e-16,3.45469199579025e-13,25.1909993742891,"RAP2A","UP"
"226059_at",1.93012717258361,7.64633287715152,8.7310358071356,1.04374048035454e-15,3.56150973348524e-13,25.1488450893138,"TOMM40L","UP"
"227771_at",-1.87146720489071,5.53183575532828,-8.73010869909218,1.04993878214184e-15,3.56150973348524e-13,25.1430860731438,"LIFR","DOWN"
"225687_at",2.80832149466776,7.24419817588384,8.7253301441049,1.08247052074935e-15,3.62680751838555e-13,25.113406820128,"FAM83D","UP"
"203162_s_at",1.08359949334754,6.73630033843939,8.71758386473741,1.13734419377198e-15,3.7874255155164e-13,25.0653102424999,"KATNB1","UP"
